CurveUID,SandboxUID,CurveDate,RangeSEQ,Value,EstimateFlag,NewRangeSEQ,DateRank,IsSecondLargestDate,TwoLast_Denominator,Normal_Denominator,LN_Calc
30000,0,2025-08-29,2,2.597,N,1,1,0,,2.5215,0.029502970145968446
30000,0,2025-08-29,3,3.0655,N,2,1,0,,2.991,0.024602908572794614
30000,0,2025-08-29,4,4.1265,N,3,1,0,,4.021,0.02589896213546489
30000,0,2025-08-29,5,4.9355,N,4,1,0,,4.829000000000001,0.02181457798440078
30000,0,2025-08-29,6,4.7205,N,5,1,0,,4.637,0.01784712078111053
30000,0,2025-08-29,7,3.459,N,6,1,0,,3.4045,0.015881444014147386
30000,0,2025-08-29,8,3.2345,N,7,1,0,,3.193,0.012913442769258104
30000,0,2025-08-29,9,3.1925,N,8,1,0,,3.1510000000000002,0.013084446149419622
30000,0,2025-08-29,10,3.3165,N,9,1,0,,3.275,0.012592140896258512
30000,0,2025-08-29,11,3.551,N,10,1,0,,3.5145,0.010331986327127804
30000,0,2025-08-29,12,3.5949999999999998,N,11,1,0,,3.5614999999999997,0.009362186736738684
30000,0,2025-08-29,13,3.4455,N,12,1,0,,3.4139999999999997,0.009184407442876782
30000,0,2025-08-29,14,3.471,N,13,1,0,,3.4415,0.008535314023367343
30000,0,2025-08-29,15,3.8975,N,14,1,0,,3.8745000000000003,0.005918699727926638
30000,0,2025-08-29,16,4.7620000000000005,N,15,1,0,,4.74,0.004630612357686009
30000,0,2025-08-29,17,5.4725,N,16,1,0,,5.452500000000001,0.003661331321233849
30000,0,2025-08-29,18,5.158,N,17,1,0,,5.147,0.0021348867885354803
30000,0,2025-08-29,19,3.6565,N,18,1,0,,3.6455,0.0030128754645206953
30000,0,2025-08-29,20,3.2305,N,19,1,0,,3.2224999999999997,0.0024794681848777735
30000,0,2025-08-29,21,3.1159999999999997,N,20,1,0,,3.108,0.00257069550310067
30000,0,2025-08-29,22,3.208,N,21,1,0,,3.1959999999999997,0.00374766210023997
30000,0,2025-08-29,23,3.4125,N,22,1,0,,3.4025,0.002934704967594022
30000,0,2025-08-29,24,3.4625,N,23,1,0,,3.4495,0.003761578509430446
30000,0,2025-08-29,25,3.342,N,24,1,0,,3.329,0.0038974715803140204
30000,0,2025-08-29,26,3.3925,N,25,1,0,,3.3775,0.004431321874670332
30000,0,2025-08-29,27,3.7264999999999997,N,26,1,0,,3.7135,0.003494627212397406
30000,0,2025-08-29,28,4.673,N,27,1,0,,4.655,0.0038593529892587603
30000,0,2025-08-29,29,5.3965,N,28,1,0,,5.3735,0.004271129984193037
30000,0,2025-08-29,30,5.1225000000000005,N,29,1,0,,5.1065000000000005,0.0031283630949011754
30000,0,2025-08-29,31,3.5675,N,30,1,0,,3.5694999999999997,-0.0005604595915236493
30000,0,2025-08-29,32,3.1105,N,31,1,0,,3.1115000000000004,-0.0003214400541982554
30000,0,2025-08-29,33,2.9795000000000003,N,32,1,0,,2.9725,0.0023521516220967437
30000,0,2025-08-29,34,3.058,N,33,1,0,,3.046,0.003931853033900419
30000,0,2025-08-29,35,3.2634999999999996,N,34,1,0,,3.2475,0.004914769530517293
30000,0,2025-08-29,36,3.3315,N,35,1,0,,3.3165,0.004512643036981127
30000,0,2025-08-29,37,3.314,N,36,1,0,,3.3009999999999997,0.003930466133315384
30000,0,2025-08-29,38,3.367,N,37,1,0,,3.355,0.003570369755292294
30000,0,2025-08-29,39,3.792,N,38,1,0,,3.787,0.0013194354731174865
30000,0,2025-08-29,40,4.551,N,39,1,0,,4.547,0.0008793141916313808
30000,0,2025-08-29,41,5.2989999999999995,N,40,1,0,,5.295999999999999,0.000566304875917959
30000,0,2025-08-29,42,4.884,N,41,1,0,,4.871,0.002665301424052699
30000,0,2025-08-29,43,3.478,N,42,1,0,,3.467,0.0031677492292049992
30000,0,2025-08-29,44,2.9855,N,43,1,0,,2.9835,0.0006701290249106781
30000,0,2025-08-29,45,2.8089999999999997,N,44,1,0,,2.799,0.0035663375887899926
30000,0,2025-08-29,46,2.9495,N,45,1,0,,2.9405,0.0030560295431193304
30000,0,2025-08-29,47,3.1460000000000004,N,46,1,0,,3.137,0.0028648754275450894
30000,0,2025-08-29,48,3.213,N,47,1,0,,3.204,0.0028050509276086816
30000,0,2025-08-29,49,3.194,N,48,1,0,,3.185,0.002821760768693886
30000,0,2025-08-29,50,3.2755,N,49,1,0,,3.2675,0.002445362673554031
30000,0,2025-08-29,51,3.686,N,50,1,0,,3.678,0.002172733065502288
30000,0,2025-08-29,52,4.438000000000001,N,51,1,0,,4.430000000000001,0.0018042404533580127
30000,0,2025-08-29,53,5.1295,N,52,1,0,,5.1225000000000005,0.0013655874147125396
30000,0,2025-08-29,54,4.7895,N,53,1,0,,4.782500000000001,0.0014625995085382813
30000,0,2025-08-29,55,3.5515000000000003,N,54,1,0,,3.5445,0.0019729431427923712
30000,0,2025-08-29,56,2.9175,N,55,1,0,,2.9114999999999998,0.0020586728835365895
30000,0,2025-08-29,57,2.7104999999999997,N,56,1,0,,2.7045000000000003,0.002216067388910999
30000,0,2025-08-29,58,2.8255,N,57,1,0,,2.8195,0.0021257758226611444
30000,0,2025-08-29,59,2.983,N,58,1,0,,2.977,0.0020134234989721035
30000,0,2025-08-29,60,3.0345,N,59,1,0,,3.0295,0.0016490768908660096
30000,0,2025-08-29,61,3.0084999999999997,N,60,1,0,,3.0035,0.0016633403701902824
