CurveUID,SandboxUID,CurveDate,RangeSEQ,Value,EstimateFlag,NewRangeSEQ,DateRank,IsSecondLargestDate,TwoLast_Denominator,Normal_Denominator,LN_Calc
30000,0,2024-08-30,2,2.127,N,1,1,0,,,0.0
30000,0,2024-08-30,3,2.498,N,2,1,0,,,0.0
30000,0,2024-08-30,4,3.037,N,3,1,0,,,0.0
30000,0,2024-08-30,5,3.329,N,4,1,0,,,0.0
30000,0,2024-08-30,6,3.202,N,5,1,0,,,0.0
30000,0,2024-08-30,7,2.889,N,6,1,0,,,0.0
30000,0,2024-08-30,8,2.768,N,7,1,0,,,0.0
30000,0,2024-08-30,9,2.824,N,8,1,0,,,0.0
30000,0,2024-08-30,10,2.979,N,9,1,0,,,0.0
30000,0,2024-08-30,11,3.143,N,10,1,0,,,0.0
30000,0,2024-08-30,12,3.178,N,11,1,0,,,0.0
30000,0,2024-08-30,13,3.15,N,12,1,0,,,0.0
30000,0,2024-08-30,14,3.22,N,13,1,0,,,0.0
30000,0,2024-08-30,15,3.49,N,14,1,0,,,0.0
30000,0,2024-08-30,16,3.892,N,15,1,0,,,0.0
30000,0,2024-08-30,17,4.157,N,16,1,0,,,0.0
30000,0,2024-08-30,18,3.936,N,17,1,0,,,0.0
30000,0,2024-08-30,19,3.417,N,18,1,0,,,0.0
30000,0,2024-08-30,20,3.092,N,19,1,0,,,0.0
30000,0,2024-08-30,21,3.125,N,20,1,0,,,0.0
30000,0,2024-08-30,22,3.271,N,21,1,0,,,0.0
30000,0,2024-08-30,23,3.426,N,22,1,0,,,0.0
30000,0,2024-08-30,24,3.463,N,23,1,0,,,0.0
30000,0,2024-08-30,25,3.434,N,24,1,0,,,0.0
30000,0,2024-08-30,26,3.491,N,25,1,0,,,0.0
30000,0,2024-08-30,27,3.759,N,26,1,0,,,0.0
30000,0,2024-08-30,28,4.154,N,27,1,0,,,0.0
30000,0,2024-08-30,29,4.414,N,28,1,0,,,0.0
30000,0,2024-08-30,30,4.175,N,29,1,0,,,0.0
30000,0,2024-08-30,31,3.578,N,30,1,0,,,0.0
30000,0,2024-08-30,32,3.13,N,31,1,0,,,0.0
30000,0,2024-08-30,33,3.149,N,32,1,0,,,0.0
30000,0,2024-08-30,34,3.287,N,33,1,0,,,0.0
30000,0,2024-08-30,35,3.436,N,34,1,0,,,0.0
30000,0,2024-08-30,36,3.475,N,35,1,0,,,0.0
30000,0,2024-08-30,37,3.449,N,36,1,0,,,0.0
30000,0,2024-08-30,38,3.534,N,37,1,0,,,0.0
30000,0,2024-08-30,39,3.809,N,38,1,0,,,0.0
30000,0,2024-08-30,40,4.215,N,39,1,0,,,0.0
30000,0,2024-08-30,41,4.464,N,40,1,0,,,0.0
30000,0,2024-08-30,42,4.23,N,41,1,0,,,0.0
30000,0,2024-08-30,43,3.557,N,42,1,0,,,0.0
30000,0,2024-08-30,44,3.066,N,43,1,0,,,0.0
30000,0,2024-08-30,45,3.081,N,44,1,0,,,0.0
30000,0,2024-08-30,46,3.222,N,45,1,0,,,0.0
30000,0,2024-08-30,47,3.391,N,46,1,0,,,0.0
30000,0,2024-08-30,48,3.431,N,47,1,0,,,0.0
30000,0,2024-08-30,49,3.395,N,48,1,0,,,0.0
30000,0,2024-08-30,50,3.451,N,49,1,0,,,0.0
30000,0,2024-08-30,51,3.707,N,50,1,0,,,0.0
30000,0,2024-08-30,52,4.111,N,51,1,0,,,0.0
30000,0,2024-08-30,53,4.369,N,52,1,0,,,0.0
